Block Group,Percentage of 2020 Total Population
130119701.004,91.37%
130119702.001,92.03%
130119702.003,91.33%
130119702.004,91.37%
130119703.001,87.71%
130119703.002,89.67%
130119703.003,91.20%
130859701.021,89.00%
130859702.031,91.63%
130859702.032,90.83%
130859702.041,83.98%
130859702.042,77.94%
130859702.051,87.50%
130859702.052,87.27%
130859702.061,88.37%
130859702.062,85.52%
130859702.063,91.27%
131171301.011,89.85%
131171301.012,78.53%
131171301.021,88.88%
131171301.022,93.45%
131171301.031,79.83%
131171301.032,84.95%
131171301.033,87.49%
131171301.041,89.39%
131171301.042,88.78%
131171301.043,88.20%
131171301.051,73.08%
131171302.011,80.88%
131171302.012,86.62%
131171302.021,87.07%
131171302.022,73.34%
131171302.023,89.20%
131171302.031,82.60%
131171302.032,85.69%
131171302.033,86.06%
131171302.041,83.53%
131171302.042,75.01%
131171302.043,83.13%
131171302.051,56.06%
131171302.052,76.99%
131171302.053,66.49%
131171303.013,77.17%
131171304.062,65.75%
131171304.063,38.14%
131171304.091,64.31%
131171304.092,65.13%
131171304.101,64.27%
131171304.102,60.95%
131171304.103,61.71%
131171304.111,69.59%
131171304.112,83.78%
131171304.121,79.88%
131171304.122,82.46%
131171304.131,59.66%
131171304.132,66.88%
131171304.141,68.77%
131171304.142,74.92%
131171304.151,70.90%
131171304.152,70.92%
131171305.031,87.62%
131171305.032,87.73%
131171305.041,64.97%
131171305.042,86.23%
131171305.051,88.13%
131171305.052,89.26%
131171305.061,82.00%
131171305.062,80.50%
131171305.071,81.44%
131171305.072,78.22%
131171305.091,69.31%
131171305.092,69.27%
131390001.011,80.56%
131390001.012,84.30%
131390001.021,78.44%
131390001.022,80.81%
131390002.041,90.13%
131390002.042,89.55%
131390002.051,73.66%
131390002.061,90.55%
131390003.031,90.51%
131390003.041,75.08%
131390003.042,88.69%
131390003.051,82.51%
131390003.052,83.16%
131390003.061,86.56%
131390003.062,84.77%
131390003.071,77.35%
131390003.072,79.58%
131390004.011,56.75%
131390004.012,67.86%
131390004.021,83.58%
131390004.022,81.47%
131390005.011,90.81%
131390005.012,50.11%
131390005.013,84.11%
131390005.021,75.60%
131390005.022,81.39%
131390006.011,87.89%
131390006.012,60.00%
131390006.013,68.94%
131390006.021,72.38%
131390006.022,67.93%
131390007.021,41.39%
131390007.022,33.13%
131390007.031,19.10%
131390007.032,23.65%
131390007.041,23.87%
131390007.042,46.25%
131390008.001,32.30%
131390008.002,25.09%
131390008.003,23.74%
131390009.011,75.08%
131390009.012,68.63%
131390009.021,61.68%
131390009.022,52.76%
131390010.041,71.89%
131390010.042,54.10%
131390010.051,39.96%
131390010.052,67.16%
131390010.061,79.29%
131390010.062,63.29%
131390010.071,27.02%
131390010.081,27.26%
131390010.082,29.07%
131390010.083,29.41%
131390011.011,18.46%
131390011.012,22.84%
131390011.013,20.25%
131390011.021,36.90%
131390011.022,20.75%
131390012.021,28.21%
131390012.022,45.88%
131390012.023,35.86%
131390012.024,35.20%
131390012.031,27.34%
131390012.041,73.50%
131390012.042,36.29%
131390012.043,50.82%
131390013.022,79.80%
131390013.031,60.16%
131390013.032,77.80%
131390013.041,55.77%
131390013.042,45.41%
131390014.021,78.99%
131390014.022,72.94%
131390014.023,65.84%
131390014.041,61.05%
131390014.042,50.38%
131390014.043,56.16%
131390014.044,52.35%
131390014.051,55.76%
131390014.052,56.45%
131390014.061,43.32%
131390014.062,47.58%
131390015.011,74.17%
131390015.012,84.53%
131390015.013,84.63%
131390015.021,82.88%
131390015.022,84.93%
131390016.031,67.78%
131390016.032,76.05%
131390016.033,78.97%
131390016.062,63.61%
131570101.041,71.55%
131570101.042,68.87%
131570101.082,84.51%
131570102.001,90.48%
131570102.002,83.29%
131570102.003,85.20%
131570102.004,84.23%
131570107.012,77.36%
131570107.041,84.96%
