Block Group,2022 Population Age 10-14
130119701.001,80
130119701.002,50
130119701.003,87
130119701.004,67
130119702.001,58
130119702.002,72
130119702.003,97
130119702.004,81
130119703.001,117
130119703.002,89
130119703.003,54
130119704.001,134
130119704.002,100
130570901.011,76
130570901.013,99
130570905.031,83
130570905.032,132
130570905.033,94
130570905.041,205
130570905.042,217
130570905.061,165
130570905.071,82
130570905.072,62
130859701.011,14
130859701.012,19
130859701.021,146
130859701.022,176
130859701.031,49
130859701.032,105
130859702.031,113
130859702.032,149
130859702.041,192
130859702.042,88
130859702.051,51
130859702.052,223
130859702.061,126
130859702.062,81
130859702.063,118
131171301.011,197
131171301.012,146
131171301.021,118
131171301.022,89
131171301.031,116
131171301.032,111
131171301.033,144
131171301.041,128
131171301.042,97
131171301.043,91
131171301.051,188
131171302.011,155
131171302.012,152
131171302.013,176
131171302.021,101
131171302.022,189
131171302.023,206
131171302.031,302
131171302.032,117
131171302.033,88
131171302.041,371
131171302.042,160
131171302.043,78
131171302.051,230
131171302.052,161
131171302.053,91
131171303.011,260
131171303.012,117
131171303.013,197
131171303.021,271
131171303.022,384
131171303.023,263
131171303.031,229
131171303.032,117
131171303.041,211
131171303.042,410
131171303.051,121
131171303.052,305
131171303.053,262
131171303.061,217
131171303.062,224
131171303.071,361
131171303.072,282
131171304.061,176
131171304.062,221
131171304.063,321
131171304.091,36
131171304.092,176
131171304.101,262
131171304.102,122
131171304.103,285
131171304.111,152
131171304.112,122
131171304.121,102
131171304.122,215
131171304.131,62
131171304.132,170
131171304.141,398
131171304.142,141
131171304.151,207
131171304.152,165
131171305.031,109
131171305.032,82
131171305.041,132
131171305.042,118
131171305.051,71
131171305.052,115
131171305.061,100
131171305.062,188
131171305.071,94
131171305.072,97
131171305.081,237
131171305.082,286
131171305.091,155
131171305.092,100
131171305.111,277
131171305.121,402
131171306.011,325
131171306.012,102
131171306.013,161
131210115.071,147
131210115.072,149
131210115.073,76
131210115.082,221
131210115.141,96
131210115.142,123
131350501.102,162
131350501.202,94
131370004.002,69
131370004.003,83
131370006.011,122
131370006.012,53
131370006.013,74
131370006.014,44
131370006.031,90
131370006.032,108
131370006.041,97
131370006.042,170
131370006.043,136
131370006.044,108
131390001.011,199
131390001.012,206
131390001.021,153
131390001.022,108
131390002.031,146
131390002.032,129
131390002.041,132
131390002.042,151
131390002.051,195
131390002.061,127
131390002.062,118
131390003.031,77
131390003.032,51
131390003.041,136
131390003.042,152
131390003.051,67
131390003.052,150
131390003.053,40
131390003.061,52
131390003.062,85
131390003.071,126
131390003.072,137
131390004.011,110
131390004.012,121
131390004.021,100
131390004.022,98
131390005.011,44
131390005.012,184
131390005.013,49
131390005.021,44
131390005.022,181
131390006.011,32
131390006.012,64
131390006.013,66
131390006.021,61
131390006.022,174
131390007.021,276
131390007.022,187
131390007.031,144
131390007.032,176
131390007.041,207
131390007.042,113
131390008.001,61
131390008.002,84
131390008.003,94
131390009.011,90
131390009.012,107
131390009.021,107
131390009.022,86
131390010.041,63
131390010.042,91
131390010.051,209
131390010.052,150
131390010.061,132
131390010.062,100
131390010.071,185
131390010.081,146
131390010.082,73
131390010.083,108
131390011.011,131
131390011.012,153
131390011.013,158
131390011.021,159
131390011.022,325
131390012.021,155
131390012.022,183
131390012.023,86
131390012.024,105
131390012.031,218
131390012.041,96
131390012.042,210
131390012.043,101
131390013.021,234
131390013.022,152
131390013.031,76
131390013.032,122
131390013.041,65
131390013.042,218
131390014.021,52
131390014.022,144
131390014.023,113
131390014.041,109
131390014.042,47
131390014.043,103
131390014.044,149
131390014.051,117
131390014.052,61
131390014.061,279
131390014.062,110
131390015.011,163
131390015.012,79
131390015.013,111
131390015.021,119
131390015.022,163
131390016.031,149
131390016.032,121
131390016.033,108
131390016.061,123
131390016.062,172
131390016.072,203
131390016.073,118
131390016.091,95
131390016.101,165
131390016.102,70
131570101.041,234
131570101.042,130
131570101.082,136
131570102.001,37
131570102.002,90
131570102.003,107
131570102.004,68
131570103.001,74
131570103.002,45
131570103.003,76
131570103.004,164
131570104.001,77
131570104.002,100
131570104.003,124
131570104.004,58
131570107.011,93
131570107.012,44
131570107.041,129
131570107.042,150
131879601.032,117
131879601.041,76
131879601.042,56
131879601.043,139
131879601.051,75
131879602.051,215
131879602.052,79
131879602.053,104
131879602.061,41
131879602.062,128
131879602.063,49
131879602.064,43
132270501.011,74
132270501.021,13
132270501.024,42
132270506.021,30
132270506.022,88
132579704.012,97
133119502.073,102
133119503.011,94
133119503.012,168
